product_title,variant_sku,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
81305,81305-BLK/BLT-C1,2,27400.000,0.000,0.000,27400.000,0.000,27400.000
81305,81305-GRY/BLT-C3,2,19200.000,0.000,0.000,19200.000,0.000,19200.000
EMMA,S087-BEIGE,2,33600.000,-1500.000,0.000,32100.000,0.000,32100.000
INDEPENDENCE,TR-08 C5,2,35600.000,-19580.000,0.000,16020.000,0.000,16020.000
IBIZA,1601-WHT/RED C6,2,23500.000,-6100.000,0.000,17400.000,0.000,17400.000
GOLDEN BRIDGE,36041-PEACH,2,48000.000,-48000.000,0.000,0.000,0.000,0.000
JOWANNA,7170-SLV/GREY C2,2,27400.000,-8900.000,0.000,18500.000,0.000,18500.000
QT,7163-GOLD/GRNPINK-C5,2,19200.000,-21.850,0.000,19178.150,0.000,19178.150
POWERFUL,TR02-C3,2,41800.000,-17800.000,0.000,24000.000,0.000,24000.000
LILY,08036-GRAY-C5,2,19200.000,0.000,0.000,19200.000,0.000,19200.000
LILY,08036-BROWN-C2,2,19200.000,-9600.000,0.000,9600.000,0.000,9600.000
81301,81301-MTBLK/BLT-C2,2,19200.000,0.000,0.000,19200.000,0.000,19200.000
Z,GUW009-BLKFD-C1,2,33600.000,0.000,0.000,33600.000,0.000,33600.000
IDOL,1670-BLK/YELLOW-C2,2,19200.000,0.000,0.000,19200.000,0.000,19200.000
BELLA POLARIZED,AP1057-BLK/PINK-C5,2,19200.000,0.000,0.000,19200.000,0.000,19200.000
JULIET,08040-BEIGE-C4,2,19200.000,0.000,0.000,19200.000,0.000,19200.000
81306,81306-TORTBRN/BLT-C3,2,33600.000,-24000.000,0.000,9600.000,0.000,9600.000
SUSSY,3594-CRYSTAL/PINK-C17-28,2,43200.000,-16200.000,-9600.000,17400.000,0.000,17400.000
DOPE,M321-TORT/BRN,1,13900.000,-6100.000,0.000,7800.000,0.000,7800.000
JAGA JAGA,167-MILKTORT/BLT,1,17800.000,0.000,0.000,17800.000,0.000,17800.000
GRACE,AP1301-BRN/FD-C6,1,13900.000,-6100.000,0.000,7800.000,0.000,7800.000
Di POLARIZED,P7316-SLV/SLV-C3-33,1,13900.000,-6100.000,0.000,7800.000,0.000,7800.000
SQ,7088-GOLD/BRN C10-02,1,13900.000,-6100.000,0.000,7800.000,0.000,7800.000
VITO,2348-BLACK-C9-08,1,9600.000,0.000,0.000,9600.000,0.000,9600.000
ECSTASY,AC151-BLK/SLV,1,9600.000,0.000,0.000,9600.000,0.000,9600.000
Di POLARIZED,P7316-GM/BLKFD-C2-31,1,9600.000,0.000,0.000,9600.000,0.000,9600.000
MAGIC,0180-GM/BLK C4,1,17800.000,-8900.000,0.000,8900.000,0.000,8900.000
ADVENTURE,TR-10 C5,1,9600.000,0.000,0.000,9600.000,0.000,9600.000
JULIET,08040-BLUE-C5,1,9600.000,0.000,0.000,9600.000,0.000,9600.000
5005,5005-SLV/BLT-C2,1,17800.000,0.000,0.000,17800.000,0.000,17800.000
XLVL,AC152-GOLD/GOLD C1,1,24000.000,-16200.000,0.000,7800.000,0.000,7800.000
81305,81305-TORTBLK/BLT-C2,1,17800.000,0.000,0.000,17800.000,0.000,17800.000
IVY,3677-BROWN-C8-02,1,9600.000,0.000,0.000,9600.000,0.000,9600.000
ALBATROSS,7115-GREEN,1,9600.000,-9600.000,0.000,0.000,0.000,0.000
SENSATION POLARIZED,7053P-PINK/PINK-C5,1,13900.000,0.000,0.000,13900.000,0.000,13900.000
5005,5005-BLK/BLT-C3,1,24000.000,0.000,0.000,24000.000,0.000,24000.000
POSH,A1059-BLK/PINK-C5,1,9600.000,0.000,0.000,9600.000,0.000,9600.000
MAD,08039-BLUE-C5,1,9600.000,0.000,0.000,9600.000,0.000,9600.000
PHANTOM PINK,2218-c9-79-PINK,1,9600.000,0.000,0.000,9600.000,0.000,9600.000
JAGA JAGA,167-YELLOW/BLT,1,9600.000,0.000,0.000,9600.000,0.000,9600.000
CLASSIC,TR11-C4,1,17800.000,0.000,0.000,17800.000,0.000,17800.000
ALBATROSS,7115-BEIGE,1,9600.000,0.000,0.000,9600.000,0.000,9600.000
STRONG,TR06-C2,1,27400.000,0.000,-9600.000,17800.000,0.000,17800.000
81309,81309-PINK/BLT-C5,1,24000.000,0.000,0.000,24000.000,0.000,24000.000
80809,80809-SLV/BLT-C5,1,19200.000,0.000,-9600.000,9600.000,0.000,9600.000
81309,81309-BLK/BLT-C1,1,9600.000,0.000,0.000,9600.000,0.000,9600.000
IVY,3677-BLACK-C9-08,1,9600.000,0.000,0.000,9600.000,0.000,9600.000
ALBATROSS,7115-BLKFD,1,24000.000,0.000,0.000,24000.000,0.000,24000.000
STEVE,TR-07 C3,1,9600.000,0.000,0.000,9600.000,0.000,9600.000
INDEPENDENCE,TR-08 C2,1,17800.000,0.000,0.000,17800.000,0.000,17800.000
